Side,Total Score,Turn Score
Player 1,7550,300
Player 1,7850,300
Player 1,8150,350
Player 1,8500,1100
Player 1,9600,250
Player 2,0,500
Player 2,500,1050
Player 2,1550,550
Player 2,2100,200
Player 2,2300,300
Player 2,2600,600
Player 2,3200,400
Player 2,3600,550
Player 2,4150,1100
Player 2,5250,600
Player 2,5850,1000
Player 2,6850,650
Player 2,7500,0
Player 2,7500,600
Player 2,8100,500
Player 2,8600,200
Player 2,8800,300
Player 2,9100,350
Player 2,9450,150
Player 2,9600,1250
Player 1,0,0
Player 1,0,400
Player 1,400,0
Player 1,400,450
Player 1,850,700
Player 1,1550,450
Player 1,2000,200
Player 1,2200,500
Player 1,2700,350
Player 1,3050,300
Player 1,3350,400
Player 1,3750,1000
Player 1,4750,0
Player 1,4750,600
Player 1,5350,300
Player 1,5650,0
Player 1,5650,200
Player 1,5850,200
Player 1,6050,600
Player 1,6650,600
Player 1,7250,300
Player 1,7550,0
Player 1,7550,0
Player 1,7550,350
Player 2,0,0
Player 2,0,500
Player 2,500,650
Player 2,1150,200
Player 2,1350,500
Player 2,1850,1050
Player 2,2900,0
Player 2,2900,500
Player 2,3400,600
Player 2,4000,300
Player 2,4300,1100
Player 2,5400,300
Player 2,5700,300
Player 2,6000,550
Player 2,6550,550
Player 2,7100,550
Player 2,7650,1100
Player 2,8750,350
Player 2,9100,0
Player 2,9100,0
Player 2,9100,0
Player 2,9100,300
Player 2,9400,400
Player 2,9800,400
Player 1,0,300
Player 1,300,0
Player 1,300,1050
Player 1,1350,350
Player 1,1700,550
Player 1,2250,250
Player 1,2500,350
Player 1,2850,400
Player 1,3250,0
Player 1,3250,600
Player 1,3850,1000
Player 1,4850,0
Player 1,4850,350
Player 1,5200,200
Player 1,5400,400
Player 1,5800,1150
Player 1,6950,850
Player 1,7800,300
Player 1,8100,250
Player 1,8350,0
Player 1,8350,850
Player 1,9200,0
Player 1,9200,250
Player 2,0,700
Player 2,700,700
Player 2,1400,450
Player 2,1850,0
Player 2,1850,0
Player 2,1850,200
Player 2,2050,300
Player 2,2350,300
Player 2,2650,0
Player 2,2650,300
Player 2,2950,650
Player 2,3600,350
Player 2,3950,400
Player 2,4350,1200
Player 2,5550,1100
Player 2,6650,300
Player 2,6950,150
Player 2,7100,400
Player 2,7500,300
Player 2,7800,800
Player 2,8600,200
Player 2,8800,300
Player 2,9100,1000
Player 1,0,700
Player 1,700,950
Player 1,1650,800
Player 1,2450,350
Player 1,2800,0
Player 1,2800,600
Player 1,3400,700
Player 1,4100,1100
Player 1,5200,1250
Player 1,6450,700
Player 1,7150,0
Player 1,7150,400
Player 1,7550,650
Player 1,8200,0
Player 1,8200,350
Player 1,8550,0
Player 1,8550,0
Player 1,8550,700
Player 1,9250,0
Player 1,9250,1150
Player 2,0,0
Player 2,0,1000
Player 2,1000,850
Player 2,1850,350
Player 2,2200,300
Player 2,2500,350
Player 2,2850,300
Player 2,3150,400
Player 2,3550,200
Player 2,3750,0
Player 2,3750,450
Player 2,4200,0
Player 2,4200,250
Player 2,4450,0
Player 2,4450,300
Player 2,4750,300
Player 2,5050,800
Player 2,5850,450
Player 2,6300,300
Player 1,0,450
Player 1,450,350
Player 1,800,450
Player 1,1250,0
Player 1,1250,400
Player 1,1650,1100
Player 1,2750,700
Player 1,3450,250
Player 1,3700,1050
Player 1,4750,300
Player 1,5050,0
Player 1,5050,650
Player 1,5700,0
Player 1,5700,1050
Player 1,6750,500
Player 1,7250,250
Player 1,7500,1000
Player 1,8500,750
Player 1,9250,450
Player 1,9700,0
Player 1,9700,200
Player 1,9900,300
Player 2,0,400
Player 2,400,600
Player 2,1000,0
Player 2,1000,550
Player 2,1550,1800
Player 2,3350,300
Player 2,3650,0
Player 2,3650,0
Player 2,3650,500
Player 2,4150,500
Player 2,4650,700
Player 2,5350,350
Player 2,5700,0
Player 2,5700,300
Player 2,6000,900
Player 2,6900,0
Player 2,6900,0
Player 2,6900,200
Player 2,7100,1100
Player 2,8200,1000
Player 2,9200,300
Player 1,0,400
Player 1,400,0
Player 1,400,650
Player 1,1050,600
Player 1,1650,350
Player 1,2000,350
Player 1,2350,800
Player 1,3150,300
Player 1,3450,1200
Player 1,4650,350
Player 1,5000,450
Player 1,5450,1550
Player 1,7000,250
Player 1,7250,1050
Player 1,8300,0
Player 1,8300,400
Player 1,8700,500
Player 1,9200,200
Player 1,9400,600
Player 2,0,0
Player 2,0,350
Player 2,350,400
Player 2,750,350
Player 2,1100,1050
Player 2,2150,800
Player 2,2950,300
Player 2,3250,0
Player 2,3250,1250
Player 2,4500,500
Player 2,5000,300
Player 2,5300,500
Player 2,5800,650
Player 2,6450,600
Player 2,7050,1000
Player 2,8050,300
Player 2,8350,450
Player 2,8800,350
Player 1,0,600
Player 1,600,600
Player 1,1200,200
Player 1,1400,400
Player 1,1800,500
Player 1,2300,650
Player 1,2950,250
Player 1,3200,350
Player 1,3550,250
Player 1,3800,1050
Player 1,4850,500
Player 1,5350,400
Player 1,5750,350
Player 1,6100,600
Player 1,6700,1000
Player 1,7700,400
Player 1,8100,0
Player 1,8100,500
Player 1,8600,400
Player 1,9000,0
Player 1,9000,350
Player 1,9350,450
Player 1,9800,250
Player 2,0,200
Player 2,200,300
Player 2,500,250
Player 2,750,300
Player 2,1050,600
Player 2,1650,250
Player 2,1900,350
Player 2,2250,350
